Label,theta_deg,phi_deg,X_nose_m,Y_left_m,Z_up_m,X_right_mne_m,Y_front_mne_m,Z_up_mne_m,X2D_right,Y2D_front,X_nose_mm,Y_left_mm,Z_up_mm
Fp1,19.330007944279625,-4.49425846438099,0.08217935499974235,0.02882712843176081,-0.006845251938498816,-0.02882712843176081,0.08217935499974235,-0.006845251938498816,-0.024535315700213348,0.08887865507523537,82.17935499974236,28.827128431760812,-6.845251938498816
Fz,-0.30570776279610273,48.63946073133474,0.057300340690335155,-0.00030573500074382407,0.06508571306673938,0.00030573500074382407,0.057300340690335155,0.06508571306673938,0.0001881094283481296,0.05851470074645681,57.300340690335155,-0.3057350007438241,65.08571306673939
F3,43.41083849759068,29.988985795821197,0.052011379793418924,0.04920335756045019,0.04131829324594307,-0.04920335756045019,0.052011379793418924,0.04131829324594307,-0.03535171998895568,0.05601796171460093,52.011379793418925,49.203357560450186,41.31829324594307
F7,58.84681304243345,-7.918645806983092,0.041594747412214625,0.06880790449635886,-0.011183516042583186,-0.06880790449635886,0.041594747412214625,-0.011183516042583186,-0.05771477295710441,0.053408504722207414,41.59474741221462,68.80790449635886,-11.183516042583186
FT9,80.17031040764678,-30.58299825773437,0.014265642140728726,0.08233486658884587,-0.04938472246159611,-0.08233486658884587,0.014265642140728726,-0.04938472246159611,-0.08536058115465536,0.034801944015187894,14.265642140728726,82.33486658884587,-49.384722461596105
FC5,76.42590504508097,17.11515546697471,0.018257236833335477,0.07561594333419058,0.023953485324131767,-0.07561594333419058,0.018257236833335477,0.023953485324131767,-0.05546459281634384,0.031565500356322766,18.257236833335476,75.61594333419059,23.953485324131766
FC1,52.63312388070131,61.81717244280639,0.025472465335834985,0.033356550358219286,0.07833063902785475,-0.033356550358219286,0.025472465335834985,0.07833063902785475,-0.02210503705533232,0.0359616562681907,25.472465335834986,33.35655035821929,78.33063902785476
C3,100.09120486162581,44.1117439753993,-0.011390832184983789,0.06400467249236043,0.06302528244033001,-0.06400467249236043,-0.011390832184983789,0.06302528244033001,-0.04284956025715105,0.010980584918411687,-11.390832184983788,64.00467249236043,63.02528244033001
T7,100.77642362288974,-6.225805906845645,-0.015686986727786977,0.08241830227770998,-0.00915246417985836,-0.08241830227770998,-0.015686986727786977,-0.00915246417985836,-0.06598861092291611,0.005374749610145897,-15.686986727786977,82.41830227770998,-9.15246417985836
TP9,118.51409073312709,-25.130594760441213,-0.04555147930524905,0.08384620812199112,-0.044760505057648836,-0.08384620812199112,-0.04555147930524905,-0.044760505057648836,-0.08139282760333262,-0.02498484671603097,-45.551479305249046,83.84620812199111,-44.760505057648835
CP5,120.32187527550083,18.554420173872632,-0.04558673382167051,0.07794401449776617,0.030308111909098694,-0.07794401449776617,-0.04558673382167051,0.030308111909098694,-0.05526385848897161,-0.014281211650480602,-45.58673382167051,77.94401449776616,30.308111909098695
CP1,143.09586519893585,57.070343882075996,-0.04631258514310331,0.03477769908685298,0.08942406019513868,-0.03477769908685298,-0.04631258514310331,0.08942406019513868,-0.02243263706684927,-0.010592129951177249,-46.31258514310331,34.77769908685298,89.42406019513868
Pz,-179.77064858237068,45.52466677973356,-0.07943528054239363,-0.00031797615227905084,0.08090421872662083,0.00031797615227905084,-0.07943528054239363,0.08090421872662083,0.0001933931358364021,-0.03260265067092994,-79.43528054239363,-0.31797615227905085,80.90421872662083
P3,146.0679005881858,30.502072778516485,-0.07715627191417125,0.05190963134185812,0.054781601350446886,-0.05190963134185812,-0.07715627191417125,0.054781601350446886,-0.03510478737502263,-0.03366127320062509,-77.15627191417126,51.90963134185812,54.781601350446884
P7,135.39996075091886,-1.3810268554565366,-0.07193165050972417,0.07093433941184617,-0.0024354995094487204,-0.07093433941184617,-0.07193165050972417,-0.0024354995094487204,-0.05485578147570124,-0.03779160436020188,-71.93165050972416,70.93433941184617,-2.4354995094487206
O1,165.34150269088192,4.348747592537868,-0.1101204199187773,0.02880431092529915,0.008655963073589562,-0.02880431092529915,-0.1101204199187773,0.008655963073589562,-0.021558619288210262,-0.0644551177673358,-110.1204199187773,28.80431092529915,8.655963073589563
Oz,-179.94634070193592,7.270063471861147,-0.11251283057482202,-0.00010537183241523213,0.014353484644145514,0.00010537183241523213,-0.11251283057482202,0.014353484644145514,7.765849316706236e-05,-0.06466776984956865,-112.51283057482202,-0.10537183241523213,14.353484644145514
O2,-165.0999065779987,4.336092622236896,-0.10983348732679159,-0.0292246231044127,0.008617770680799655,0.0292246231044127,-0.10983348732679159,0.008617770680799655,0.02187270167614105,-0.06422877008013345,-109.83348732679158,-29.2246231044127,8.617770680799655
