task,session,raw,final,csv,sheetX,paramSource,drift
breathingTask,250623_Dupi_NMH_KS_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250723_EEG_NWU_BK,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250723_EEG_NWU_IN,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250725_EEG_NWU_BN,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250623_Dupi_NMH_KS_2,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250815_EEG_NWU_PP,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250818_Dupi_NMH_JH_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250819_EEG_NWU_ZL,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250908_OBE_NWU_AS,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250904_OBE_NWU_TI_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250912_EEG_NWU_JN,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250818_Dupi_NMH_JH_2,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250811_Dupi_NMH_TPB_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,251003_EEG_NWU_TI,raw_waveBreathing,VALID,closed-loop,X,curated,
breathingTask,251008_EEG_NWU_GM,raw_waveBreathing,VALID,closed-loop,X,curated,
breathingTask,251008_EEG_NWU_JC,raw_waveBreathing,VALID,closed-loop,X,curated,
breathingTask,251009_EEG_NWU_JM,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250811_Dupi_NMH_TB_2,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,250929_Dupi_NMH_GH_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,251027_EEG_NWU_AS,raw_waveBreathing,VALID,closed-loop,X,curated,
breathingTask,251009_OBE_NWU_CP_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,251009_EEG_NWU_SM,raw_waveBreathing,VALID,closed-loop,X,curated,
breathingTask,251105_EEG_NWU_GL,raw_waveBreathing,VALID,closed-loop,X,curated,
breathingTask,251002_Dupi_NMH_AB_1,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,251110_EEG_NWU_GA,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,251111_EEG_NWU_VW,raw_breathingTasks,VALID,closed-loop,X,curated,
breathingTask,251113_EEG_NWU_GH,raw_breathingTasks,VALID,closed-loop,X,curated,
