sniffOnset,finalOnset,manOnset,condition,Yonset,inhaleMax,inMaxTim,Yend,endTim,length,amp,exhaleMin,exMinTim,index,task,noseMouth,shadowFile,warp,rateBPM,localPeriodCV,localAmpCV,nSubPeaks,bm_inhaleOnsets,bm_exhaleOnsets,bm_inhaleOffsets,bm_exhaleOffsets,bm_inhalePeaks,bm_exhaleTroughs,bm_peakInspiratoryFlows,bm_troughExpiratoryFlows,bm_inhaleTimeToPeak,bm_exhaleTimeToTrough,bm_inhaleVolumes,bm_exhaleVolumes,bm_inhaleDurations,bm_exhaleDurations,bm_inhalePauseOnsets,bm_exhalePauseOnsets,bm_inhalePauseDurations,bm_exhalePauseDurations,bm_inhaleVolumesRaw,bm_exhaleVolumesRaw,bm_inhale_smoothness,bm_inpeak_to_extrough_smoothness,bm_exhale_smoothness,bm_inhale_curvature,bm_inpeak_to_extrough_curvature,bm_exhale_curvature,bm_inpeak_to_extrough_slope,bm_max_flowchange,goodBreath,maxRR,minRR,RR_max_min,onsetSec,rsa_ms,good,clean,final10,period,meanRR,hrBPM,rsaNorm,depthVol,depth
10168,10168,NaN,1,1172.70968277903,1307.24164158285,10356,163.158660981791,15116,9.896,639.307469702441,-2084.74826225767,10607,1,pre,NA,NA,NaN,6.06305578011318,0.649300101943675,0.576422357233574,3,10168,10456,10455,13708,10356,10607,1.83307868708681,-2.34687611609743,0.376,0.302,896.1742571354,9585.18140566691,0.574,6.504,NaN,13709,NaN,2.814,884869.157218321,8694584.38448582,-0.112464151771362,-0.124195676799421,-0.00210136057770312,0.000162158851096269,0.000160865374907831,1.27962461917201e-05,-0.017590290065176,0.0113013982958274,0,0.881999999999998,0.73,0.151999999999997,20.336,151.999999999997,0,0,0,pre,0.808250781115308,74.2343854183547,0.188060443059829,884869.157218321,884869.157218321
15116,15116,NaN,1,163.158660981791,904.862618261932,15464,117.842510918428,19537,8.842,764.362032311822,-113.892743111365,19053,2,pre,NA,NA,NaN,6.78579506898892,0.58324104844509,0.706756404165371,3,15116,18883,18882,19536,15464,19053,1.05262800444291,-0.149947464462711,0.696,0.34,2897.81012371531,188.195628871242,7.532,1.306,NaN,NaN,NaN,NaN,1988806.40533012,98190.3369428761,-0.0257766804317503,-0.00271452264326889,-0.00502196865987348,2.19040687056785e-05,5.2482582347013e-06,5.73187353112245e-06,1.98808689443129e-05,0.003874658886245,0,0.913999999999994,0.702000000000002,0.211999999999993,30.232,211.999999999993,0,0,0,pre,0.797156176609872,75.2675595579861,0.265945377104875,1988806.40533012,1988806.40533012
19537,19537,NaN,1,117.842510918428,370.610100150367,20109,94.3821158609671,21119,3.164,264.49778676067,-101.546048147734,20594,3,pre,NA,NA,NaN,18.9633375474083,0.585628364594116,0.727139154538522,1,19537,20449,20448,20952,20109,20594,1.63409482483721,-0.282369458741466,1.144,0.29,1784.49312456305,229.03372137581,1.822,1.006,NaN,20953,NaN,0.332,414419.790270602,60947.1942739345,-0.0240283765686337,-0.0271415741075548,-0.00883100066019123,8.83821825404341e-06,3.04488677037655e-05,1.91362028055183e-05,-0.00488009229622957,0.0038148737813932,1,0.826000000000001,0.762,0.0640000000000001,39.074,64.0000000000001,1,0,0,pre,0.796409977365229,75.338081773534,0.0803606205584363,414419.790270602,414419.790270602
21119,21119,NaN,1,94.3821158609671,265.330668558749,21397,1.88930517263698,22211,2.184,217.194958041946,-192.860106069179,21918,4,pre,NA,NA,NaN,27.4725274725275,0.597463459498208,0.721363162556011,1,21119,21717,21716,22210,21397,21918,1.31634093088535,-0.745548262785473,0.556,0.402,1050.30541779656,428.924081814856,1.194,0.986,NaN,NaN,NaN,NaN,193198.773524854,105578.022875312,-0.0448515232944146,-0.0279249640144224,-0.00382361046601263,2.99304114165703e-05,2.46976594057305e-05,2.27275591926022e-05,-0.00473290526124969,0.00425455410617848,1,0.816000000000003,0.799999999999997,0.0160000000000053,42.238,16.0000000000053,1,0,0,pre,0.807211717159759,74.3299418535635,0.0198213178276235,193198.773524854,193198.773524854
22211,22211,NaN,1,1.88930517263698,124.485456871874,22564,9.79516287189009,24780,5.13800000000001,118.64322284961,-137.445245150631,23298,5,pre,NA,NA,NaN,11.6776956014013,0.565823609130608,0.776871039651127,7,22211,22871,22870,23624,22564,23298,0.816988704606411,-0.73434417555124,0.706,0.854,725.183959396252,767.748823935235,1.318,1.506,NaN,23625,NaN,2.31,151261.889601494,112563.414662748,-0.0165010405106938,-0.0161187876810133,-0.00493325435403905,1.27473971161637e-05,2.86940961359932e-05,2.92832265228778e-05,-0.00263144587622813,0.00331421664386894,1,0.812088235294119,0.66480721220527,0.14728102308885,44.422,147.28102308885,1,0,0,pre,0.765119079388598,78.4191658740828,0.192494249661819,151261.889601494,151261.889601494
24780,24780,NaN,1,9.79516287189009,184.462400357383,25113,-34.3492038877957,26534,3.508,196.739420865336,-99.5614931082588,25615,6,pre,NA,NA,NaN,17.1037628278221,0.300812554772696,0.223827898747297,1,24780,25251,25250,26066,25113,25615,0.578725829687738,-1.18257425588813,0.666,0.728,304.868683213127,1408.92293576884,0.94,1.63,NaN,26067,NaN,0.934,102686.695850157,90327.9404160712,-0.0207559516782366,-0.0252182159487361,-0.00701850548688493,3.19132783472981e-05,2.67526089827149e-05,2.01488400127421e-05,-0.00405067006537286,0.00535535977670945,1,0.719999999999999,0.655176470588238,0.0648235294117605,49.56,64.8235294117605,1,0,0,pre,0.694565556303023,86.3849343744644,0.0933296055692682,102686.695850157,102686.695850157
26534,26534,NaN,1,-34.3492038877957,156.469246288577,26803,-95.3822156857397,28061,3.054,221.334956075345,-271.549108113024,27366,7,pre,NA,NA,NaN,19.6463654223968,0.316195105059642,0.23665573351164,2,26534,27074,27073,28060,26803,27366,1.11909594113605,-1.9672871870267,0.538,0.584,642.37566779022,2382.90798378424,1.078,1.972,NaN,NaN,NaN,NaN,90316.7720436472,323432.541319415,-0.0413741056368269,-0.0395443273827323,-0.0053612994747343,3.98218730239934e-05,3.47277539832161e-05,2.64601411594944e-05,-0.00612418957442244,0.00731507695168565,1,0.707999999999998,0.608000000000004,0.0999999999999943,53.068,99.9999999999943,1,0,0,pre,0.673299819861961,89.113346283534,0.148522243805882,90316.7720436472,90316.7720436472
28061,28061,NaN,1,-95.3822156857397,96.8413624105239,28327,-72.9616818054284,29359,2.596,181.013311156108,-217.552529897229,28760,8,pre,NA,NA,NaN,23.1124807395994,0.291699583866261,0.245583812726538,1,28061,28508,28507,29358,28327,28760,1.24372878109079,-1.80091494034687,0.532,0.504,636.174728372732,1923.68106126519,0.892,1.7,NaN,NaN,NaN,NaN,55173.7622799025,255277.992791567,-0.0426331455541125,-0.050476951079951,-0.00541276094872558,4.57539668490128e-05,5.38276312883942e-05,2.32665156591403e-05,-0.00867105246792076,0.00813376194484799,1,0.723999999999997,0.693994219653179,0.0300057803468172,56.122,30.0057803468172,1,0,0,pre,0.713911838365892,84.0439908341301,0.0420300921406472,55173.7622799025,55173.7622799025
29359,29359,NaN,1,-72.9616818054284,103.747852308117,29715,-109.019658794243,30705,2.69199999999999,194.738522607953,-189.019878006101,30143,9,pre,NA,NA,NaN,22.2882615156018,0.273059448221946,0.164677869383415,2,29359,29922,29921,30381,29715,30143,1.68165339923438,-1.78615839406769,0.712,0.442,1131.82774275196,1297.591353182,1.124,0.918,NaN,30382,NaN,0.646,91491.4897704481,154317.393889011,-0.0412025293504366,-0.0588669985825107,-0.0239335267280789,3.53524823862733e-05,6.7324376515489e-05,4.16765861009832e-05,-0.0102414271642689,0.00847716932381426,1,0.718055401662053,0.702000000000005,0.0160554016620481,58.718,16.0554016620481,1,0,0,pre,0.711329427598408,84.3491041873132,0.022570979126021,91491.4897704481,91491.4897704481
30705,30705,NaN,1,-109.019658794243,222.412078369747,30961,1.68501023599318,32014,2.61800000000001,276.079402648872,-132.054774534658,31751,10,pre,NA,NA,NaN,22.9182582123758,0.299713698249693,0.177321992169094,2,30705,31147,31146,32013,30961,31751,2.3924944002239,-1.07760200674855,0.512,1.208,1142.03496337576,954.222852159792,0.882,1.732,NaN,NaN,NaN,NaN,106111.914002198,120924.087073547,-0.0924510259875611,-0.0334749771640892,-0.00930215709566385,0.000112003004671897,6.49888124247923e-05,4.7564764071257e-05,-0.00319833897780576,0.0186829840204173,1,0.727999999999994,0.703501416430594,0.0244985835694005,61.41,24.4985835694005,1,0,0,pre,0.716433233830093,83.7482087189571,0.0341952081681494,106111.914002198,106111.914002198
