lengthBin,depthBin,n,medRSA_ms,iqrRSA_ms,medLength_s,medDepth,medAmp,medHR
<4,shallow,158,48.0000000000018,40.3951012505454,3.20599999999968,73980.9068343027,101.858124895466,73.6797336759739
<4,medium,86,63.2291628698404,47.8935544729089,3.54199999999992,134646.642924348,174.480979289888,75.9816047881339
<4,deep,47,60.5273631842308,48.1935866986186,3.4380000000001,203969.921407974,276.846886970241,79.2740041074503
4-5,shallow,111,60.0000000004002,44.0146995846897,4.44999999999982,77858.3532340537,99.4624188309611,71.8419654755124
4-5,medium,83,75.3090909090992,44.9615644410283,4.488,133613.158803723,158.102321987022,76.0148132868988
4-5,deep,85,78.7058823531008,44.9136689265296,4.54599999999994,193042.071732959,218.145633363618,80.1817784561968
5-6,shallow,49,77.9999999995198,59.6925066316896,5.40400000000045,89911.8263324544,94.5534721508374,72.0896009736736
5-6,medium,64,95.0000000002547,62.4284293164716,5.47099999999989,140490.260353842,147.588220575532,75.3910530430622
5-6,deep,72,91.0000000012587,74.3214285715522,5.45499999999993,203074.22406507,210.28760683364,82.6333181649667
6-7.5,shallow,27,115.832335329838,88.8931142969689,6.80400000000009,91626.8890253518,101.952855331044,72.8532661491727
6-7.5,medium,73,109.999999999673,74.8036951505411,6.77799999999934,138822.412542713,142.920863150787,77.1013912758365
6-7.5,deep,81,113.999999999578,67.4591756386245,6.82799999999952,208528.191329008,193.979583516001,80.1388337321294
7.5-9,shallow,18,124.933161953892,61.2045567787258,7.95000000000005,90389.8432017515,91.2198657096793,73.3444274214114
7.5-9,medium,38,119.068090176108,76.1129943503754,8.17499999999995,128843.889036924,113.562342991854,75.6700298550857
7.5-9,deep,58,132.479933787853,87.2121212128981,8.23000000000002,213013.758315241,198.532724897728,78.5368120419062
9-11,shallow,6,87.2358078604709,72.0000000005712,9.64300000000026,72695.5262935192,83.8346352953101,70.1679438648276
9-11,medium,26,130.836363636425,83.9999999993779,9.83500000000004,137109.731777954,133.645885510142,75.787943221932
9-11,deep,27,125.999999999294,54.1876004373006,9.96199999999953,219778.445746964,186.819663795105,79.8012514977268
>11,shallow,1,152.000000000044,0,13.5219999999999,100091.525841332,97.8579017568612,80.3298795188865
>11,medium,0,NaN,NaN,NaN,NaN,NaN,NaN
>11,deep,0,NaN,NaN,NaN,NaN,NaN,NaN
