sniffOnset,finalOnset,manOnset,condition,Yonset,inhaleMax,inMaxTim,Yend,endTim,length,amp,exhaleMin,exMinTim,index,task,noseMouth,shadowFile,warp,rateBPM,localPeriodCV,localAmpCV,nSubPeaks,nearSeam,bm_inhaleOnsets,bm_exhaleOnsets,bm_inhaleOffsets,bm_exhaleOffsets,bm_inhalePeaks,bm_exhaleTroughs,bm_peakInspiratoryFlows,bm_troughExpiratoryFlows,bm_inhaleTimeToPeak,bm_exhaleTimeToTrough,bm_inhaleVolumes,bm_exhaleVolumes,bm_inhaleDurations,bm_exhaleDurations,bm_inhalePauseOnsets,bm_exhalePauseOnsets,bm_inhalePauseDurations,bm_exhalePauseDurations,bm_inhaleVolumesRaw,bm_exhaleVolumesRaw,bm_inhale_smoothness,bm_inpeak_to_extrough_smoothness,bm_exhale_smoothness,bm_inhale_curvature,bm_inpeak_to_extrough_curvature,bm_exhale_curvature,bm_inpeak_to_extrough_slope,bm_max_flowchange,goodBreath,maxRR,minRR,RR_max_min,onsetSec,rsa_ms,good,nearSeamWide,clean,final10,period,meanRR,hrBPM,rsaNorm,depthVol,depth
2975,2975,NaN,1,-52.6395113657308,106.160859548579,3513,23.1545372275314,5687,5.424,120.903346617679,-133.660057149699,4113,1,pre,NA,NA,NaN,11.0619469026549,0.124627933915751,0.232964815395668,2,0,2975,3888,3887,5143,3513,4113,1.17726317600673,-1.6426842983358,1.076,0.45,1149.20454273626,1943.48132973703,1.824,2.51,NaN,5144,NaN,1.086,106278.073072052,158573.196437024,-0.0264970392222424,-0.0360522002900839,-0.0036297478180989,3.59379063512924e-05,6.14764288570722e-05,2.24137548041194e-05,-0.00482743611655331,0.0096837776594812,1,0.975676348547719,0.851999999999999,0.123676348547719,5.95,123.676348547719,1,0,0,0,pre,0.911798727115794,65.8039962281942,0.135639966222516,106278.073072052,106278.073072052
5687,5687,NaN,1,23.1545372275314,238.872193664572,6166,49.0131752826312,8354,5.334,202.788337409491,-86.3501635698263,6704,2,pre,NA,NA,NaN,11.2485939257593,0.206108320619836,0.224413045238568,1,0,5687,6539,6538,7468,6166,6704,2.16133702341757,-1.10986792150282,0.958,0.33,2082.15563555428,1025.78296420959,1.702,1.858,NaN,7469,NaN,1.77,188243.580266883,83745.9852186566,-0.0360958369604167,-0.0433519797825059,-0.00333425673416624,3.56969574282322e-05,5.07921826498537e-05,1.66022506336684e-05,-0.00715071787814259,0.00750233208532425,1,0.976000000000001,0.92,0.0560000000000009,11.374,56.0000000000009,1,0,0,0,pre,0.949880703039496,63.1658268327883,0.0589547717106034,188243.580266883,188243.580266883
8354,8354,NaN,1,49.0131752826312,175.117128424662,8868,31.876974524002,10583,4.458,134.672053521345,-51.2135965769658,9191,3,pre,NA,NA,NaN,13.4589502018842,0.207682675128513,0.299943035683734,2,0,8354,9069,9068,9921,8868,9191,1.94201920875778,-0.809389402561853,1.028,0.244,1811.46523961886,642.9953373184,1.428,1.704,NaN,9922,NaN,1.322,147458.684138506,44654.863242318,-0.034142934736026,-0.0619478573038907,-0.00514669973570537,3.76276858565704e-05,8.13378286612183e-05,2.31609251783108e-05,-0.0104449926262442,0.00497142427586472,1,0.957999999999998,0.93,0.0279999999999987,16.708,27.9999999999987,1,0,0,0,pre,0.944505090934512,63.5253325534062,0.0296451551915882,147458.684138506,147458.684138506
10583,10583,NaN,1,31.876974524002,184.110820799417,11060,20.64324244722,12698,4.23,157.850712313806,-105.424776704298,11545,4,pre,NA,NA,NaN,14.1843971631206,0.189332789481763,0.273596302159245,1,0,10583,11298,11297,12145,11060,11545,2.52749681877878,-1.59056850903952,0.954,0.494,2028.78639830548,1564.0175596045,1.428,1.694,NaN,12146,NaN,1.104,146030.704084142,105074.914900408,-0.0428541362786944,-0.0598501770963297,-0.00666998284791231,3.26559204001531e-05,6.25287595825436e-05,2.85194924314859e-05,-0.0105496232000103,0.00791730813131419,1,0.946426778242677,0.904,0.0424267782426774,21.166,42.4267782426774,1,0,1,0,pre,0.915520567232436,65.5364850856125,0.0463416986588636,146030.704084142,146030.704084142
12698,12698,NaN,1,20.64324244722,137.068901076107,13136,-0.459464403040019,16197,6.998,126.977012054017,-100.346364394371,13650,5,pre,NA,NA,NaN,8.57387825092884,0.21737110189704,0.280380565755067,2,0,12698,13468,13467,14635,13136,13650,2.10762227778322,-1.70710315541969,0.876,0.364,2099.55563440898,2111.2758337917,1.538,2.334,NaN,14636,NaN,3.122,152875.26489097,127366.262971581,-0.0388963597285445,-0.0537781730170593,-0.00381367891151127,3.95099781723681e-05,6.44810966047933e-05,2.07407181807563e-05,-0.00884704739870988,0.00881247224633808,1,0.975999999999999,0.876000000000001,0.0999999999999979,25.396,99.9999999999979,1,0,0,0,pre,0.923949772673074,64.9385949048013,0.108230991508,152875.26489097,152875.26489097
16197,16197,NaN,1,-0.459464403040019,77.3529063459471,16534,-3.49567550112648,18324,4.254,79.3304762980303,-116.147503405504,17183,6,pre,NA,NA,NaN,14.1043723554302,0.218943407731553,0.195026806827117,2,0,16197,16996,16995,17891,16534,17183,1.35608484064043,-1.97018803975603,0.674,0.374,1344.23008644219,1917.53485448797,1.596,1.79,NaN,17892,NaN,0.864,91406.2590884902,132257.220673758,-0.0313122786897019,-0.0411391224786361,-0.00481678012283972,4.15098710218215e-05,7.95489254361139e-05,3.11761843967834e-05,-0.00515073396485776,0.00688931457163983,1,0.965672131147542,0.904000000000003,0.0616721311475386,32.394,61.6721311475386,1,0,0,0,pre,0.922840426804981,65.0166575468843,0.0668285971834342,91406.2590884902,91406.2590884902
18324,18324,NaN,1,-3.49567550112648,134.851353145409,18811,-2.52825981352392,21038,5.428,137.863320802734,-100.482825363857,19283,7,pre,NA,NA,NaN,11.0537951363301,0.213814734080312,0.234439514102929,1,0,18324,19091,19090,20466,18811,19283,1.89770142315188,-1.44116478892194,0.974,0.384,1646.2801746583,2132.60480629511,1.532,2.75,NaN,20467,NaN,1.142,102935.286822875,148964.193032912,-0.0289891737021316,-0.0504569422805735,-0.00342694970193839,2.98437996439712e-05,4.80354009710137e-05,1.97763374628074e-05,-0.00852813992044628,0.0064263688566526,1,0.946177589852007,0.875999999999998,0.0701775898520089,36.648,70.1775898520089,1,0,0,0,pre,0.909332870529187,65.9824382737676,0.077174808176866,102935.286822875,102935.286822875
21038,21038,NaN,1,-2.52825981352392,111.880525167166,21398,-0.715132269535181,22986,3.896,113.502221208695,-61.2415509181184,21762,8,pre,NA,NA,NaN,15.4004106776181,0.214913114240416,0.226152836685581,1,0,21038,21603,21602,22667,21398,21762,1.89382745635633,-1.02787782165661,0.72,0.318,1139.88263470016,1228.9515468893,1.128,2.128,NaN,22668,NaN,0.636,69776.2151291744,82989.9144240541,-0.0402541141002918,-0.0575188611184934,-0.00311867106174245,4.28363036469083e-05,6.93478285537595e-05,2.3105048138649e-05,-0.00981623098479304,0.00776893418785185,1,0.969999999999999,0.944000000000003,0.0259999999999962,42.076,25.9999999999962,1,0,0,0,pre,0.955332063592159,62.8053870341094,0.0272156677147768,69776.2151291744,69776.2151291744
22986,22986,NaN,1,-0.715132269535181,138.911906561543,23395,7.61566673950597,25338,4.704,135.461639326557,-97.6397722055317,23936,9,pre,NA,NA,NaN,12.7551020408163,0.183133976642478,0.245359541876947,1,0,22986,23750,23749,24961,23395,23936,2.01154113387908,-1.49085846609525,0.818,0.372,1753.30180681669,1975.98874758861,1.526,2.422,NaN,24962,NaN,0.752,109317.607769291,132593.065549175,-0.0369604496928515,-0.0469176619971599,-0.00406129307703756,4.15876030480126e-05,5.55309086422505e-05,1.9437001853165e-05,-0.00783887231144876,0.0087241846242605,1,0.961247933884295,0.915999999999997,0.0452479338842978,45.972,45.2479338842978,1,0,1,0,pre,0.926380550967805,64.7681991351362,0.0488437865378613,109317.607769291,109317.607769291
25338,25338,NaN,1,7.61566673950597,182.178631677575,25760,4.94807317317279,28071,5.466,175.896761721236,-129.54669163978,26359,10,pre,NA,NA,NaN,10.9769484083425,0.208487027232771,0.176736638395995,1,0,25338,26153,26152,27593,25760,26359,2.75703503423688,-1.99744131781368,0.844,0.412,2493.41756436504,2753.53134235475,1.628,2.88,NaN,27594,NaN,0.954,157473.335616955,173149.891467592,-0.0499751693177519,-0.0562678724751627,-0.00426488372053774,4.98569655977763e-05,5.13304847685823e-05,2.08963289933365e-05,-0.00905067253101977,0.0104337162778507,1,0.939999999999998,0.891999999999996,0.0480000000000018,50.676,48.0000000000018,1,0,0,0,pre,0.912861754319835,65.7273674968511,0.0525818939974829,157473.335616955,157473.335616955
