lengthBin,depthBin,n,medRSA_ms,iqrRSA_ms,medLength_s,medDepth,medAmp,medHR
<4,shallow,89,37.8422174843167,28.0806670515768,3.52999999999975,84267.6380904927,131.938969840794,66.4736764145093
<4,medium,56,41.1537360090769,30.4216891194027,3.69099999999995,116891.965133053,179.480103563875,66.1514156529319
<4,deep,49,52.3066954640341,43.8736951984183,3.68999999999983,156033.17220997,230.949661225174,69.7016864862023
4-5,shallow,88,46.0000000001344,30.2585365858018,4.435,92418.760204832,129.712315138445,66.029166078597
4-5,medium,75,49.0725274721684,30.4392134013467,4.50199999999995,117162.213349386,153.003582443913,66.7360527828724
4-5,deep,69,58.0000000002201,28.6089781082684,4.38999999999999,151457.859074451,194.445904992301,68.8446345221226
5-6,shallow,40,47.4308439266014,29.7656819503753,5.37000000000012,91924.6475688899,116.24770481065,69.265800445096
5-6,medium,51,59.9999999999454,38.7762785179682,5.38799999999992,118527.891787605,135.742693741017,69.5295591012771
5-6,deep,51,66.0000000000309,34.7890557495311,5.37799999999993,147452.808280236,156.868976051291,70.6076088898039
6-7.5,shallow,20,61.1430971733107,46.1309400162237,6.35000000000014,91973.081385878,105.546811571907,66.2120856991741
6-7.5,medium,31,89.790393013024,61.5850622401491,6.71399999999994,117847.053597042,129.66241551805,68.3120882292736
6-7.5,deep,29,113.886409736804,73.1666960731282,6.63999999999987,149114.382330731,142.298485855177,67.1081369907017
7.5-9,shallow,8,123.999999999796,42.0389660325943,8.34500000000003,98105.1226407692,95.0594946518519,64.8062395231004
7.5-9,medium,25,134.000000000015,69.1196388259062,8.36400000000003,115872.777788029,127.922895647971,66.2756749157063
7.5-9,deep,17,149.999999999864,103.980544746883,8.4820000000002,150325.68640056,163.122090780392,65.2413628793444
9-11,shallow,3,163.99999999976,102.337500000207,9.87800000000016,98631.602308387,88.9834466488551,64.4777680035108
9-11,medium,10,214.030860003515,123.999999999796,9.47299999999984,121311.111857944,103.009700939542,65.8604076027482
9-11,deep,33,155.999999999722,67.3548209703649,9.86000000000058,147483.663809514,140.043821492554,66.0895772678237
>11,shallow,1,185.999999999694,0,11.7359999999999,100700.132933686,89.1913254586575,61.3187825589913
>11,medium,0,NaN,NaN,NaN,NaN,NaN,NaN
>11,deep,1,271.999999999935,0,11.6980000000001,245204.35939118,192.020832043778,70.0578662450652
