lengthBin,depthBin,n,medRSA_ms,iqrRSA_ms,medLength_s,medDepth,medAmp,medHR
<4,shallow,74,37.7869910951234,30.9250526325755,3.42599999999993,90991.6421600117,142.048774024118,66.9818511780629
<4,medium,46,39.8466522677865,33.4692373820364,3.70499999999987,118202.722488776,181.402230696304,66.6556922788853
<4,deep,43,51.7044854880346,41.161523652573,3.82600000000002,156033.17220997,222.218845958568,69.9123008197382
4-5,shallow,64,45.3625592419978,33.16606115117,4.52600000000007,92553.9829693651,137.047116058458,67.8407409829612
4-5,medium,65,47.5575221238371,32.663248823813,4.39799999999968,119449.325895389,158.636625954636,66.9981988762651
4-5,deep,57,57.9999999999927,31.3581729598108,4.42799999999988,154637.364423639,196.984312218868,69.1892868918258
5-6,shallow,43,54.0000000005421,32.7428016250576,5.38000000000011,96055.9797182511,127.513310112466,69.333614899082
5-6,medium,37,57.1946308729212,39.593151452157,5.42000000000007,120387.313185079,141.482695188756,70.4149720462412
5-6,deep,43,63.9999999998508,34.1970075895389,5.36400000000003,148714.047722163,152.758022690554,70.9601633923122
6-7.5,shallow,22,64.9034683519293,48.6173892891782,6.51199999999994,92737.7641521531,106.118373909529,66.2216851424125
6-7.5,medium,31,89.790393013024,57.0663900411994,6.69999999999982,118997.074298765,132.919963217071,68.3120882292736
6-7.5,deep,26,115.943204868371,72.2343096234879,6.79999999999961,149347.839946321,142.338306884383,66.9317416911313
7.5-9,shallow,9,127.999999999702,36.3594563609623,8.38599999999997,99938.2023333187,99.5643898055203,64.6987321628957
7.5-9,medium,25,138.957264957145,69.1196388259062,8.34799999999996,117236.957542497,127.922895647971,66.2756749157063
7.5-9,deep,16,146.999999999821,111.961089493763,8.48500000000001,152318.76328551,165.819321164527,65.3476235738436
9-11,shallow,3,163.99999999976,102.337500000207,9.87800000000016,98631.602308387,88.9834466488551,64.4777680035108
9-11,medium,13,180.000000000064,120.499999999652,9.48800000000006,123005.231587842,113.500043404009,66.4686779843872
9-11,deep,30,154.995670995473,67.806427959491,9.8929999999998,151236.690797155,140.730272525921,65.9714995028466
>11,shallow,1,185.999999999694,0,11.7359999999999,100700.132933686,89.1913254586575,61.3187825589913
>11,medium,0,NaN,NaN,NaN,NaN,NaN,NaN
>11,deep,1,271.999999999935,0,11.6980000000001,245204.35939118,192.020832043778,70.0578662450652
