measure,comparedTo,nFinal10,nOther,medFinal10,medOther,q1Final10,q3Final10,q1Other,q3Other,ranksumP,cliffsDelta
length,restAll,94,820,5.58999999999924,4.71899999999994,4.91600000000017,6.29600000000028,3.97399999999999,5.72199999999958,2.23856183898732e-07,0.325752464971458
length,pacedAll,94,649,5.58999999999924,4.8159999999998,4.91600000000017,6.29600000000028,3.99700000000007,6.20850000000007,8.29141954638406e-05,0.250958922073239
length,preNatural,94,171,5.58999999999924,4.416,4.91600000000017,6.29600000000028,3.8625,5.124,2.26382558282181e-16,0.609618016672888
rateBPM,restAll,94,820,10.7335638862761,12.7145587400581,9.52986022871623,12.2050447518303,10.4858453915065,15.0981378963262,2.23856183898732e-07,-0.325752464971458
rateBPM,pacedAll,94,649,10.7335638862761,12.4584717607979,9.52986022871623,12.2050447518303,9.66417027740414,15.0112612640819,8.29141954638406e-05,-0.250958922073239
rateBPM,preNatural,94,171,10.7335638862761,13.5869565217391,9.52986022871623,12.2050447518303,11.7096072295847,15.5339813632431,2.26382558282181e-16,-0.609618016672888
amp,restAll,94,820,105.055213404576,144.515475576343,84.9368888593176,136.369049042462,119.273139430192,182.758927166652,2.52179718321181e-16,-0.515464452516866
amp,pacedAll,94,649,105.055213404576,149.356935427459,84.9368888593176,136.369049042462,122.693398234807,190.321343474567,4.22842906403956e-18,-0.552962003737337
amp,preNatural,94,171,105.055213404576,128.856246789598,84.9368888593176,136.369049042462,110.187058179009,157.989617544575,5.07826668888862e-07,-0.373149185019286
rsa_ms,restAll,94,820,81.8323529405884,57.9999999999927,51.9999999996799,113.999999999578,39.063257486993,90.3205475658113,6.08809305657546e-05,0.252218474312403
rsa_ms,pacedAll,94,649,81.8323529405884,59.9999999999454,51.9999999996799,113.999999999578,39.3078175198024,98.5108508078551,0.00118615705564045,0.206733763892076
rsa_ms,preNatural,94,171,81.8323529405884,50.7999999999664,51.9999999996799,113.999999999578,36.731440362292,67.3493303571501,1.0687801272805e-08,0.424847579942765
rsaNorm,restAll,94,820,0.0893471148041879,0.0649258549101445,0.0555776933410306,0.132202805126536,0.0438174059762081,0.102811933551863,0.000246403380691961,0.230617540217955
rsaNorm,pacedAll,94,649,0.0893471148041879,0.0679703701730994,0.0555776933410306,0.132202805126536,0.0443512284440139,0.112623197272076,0.00469516663935274,0.180277349768875
rsaNorm,preNatural,94,171,0.0893471148041879,0.0570073528486953,0.0555776933410306,0.132202805126536,0.0413372450216193,0.0731674145084731,1.3732460090373e-08,0.42167475426154
hrBPM,restAll,94,820,66.1004240938924,67.0563672562891,64.1167212745915,67.9603695987296,64.8795934280568,69.6969471709791,0.000336920473009465,-0.225531914893617
hrBPM,pacedAll,94,649,66.1004240938924,67.7187220441318,64.1167212745915,67.9603695987296,65.2923713558088,70.1103652845853,1.68605421560192e-06,-0.305281447726453
hrBPM,preNatural,94,171,66.1004240938924,65.5616777636531,64.1167212745915,67.9603695987296,63.9821103856889,67.0255261933507,0.299345965966208,0.0771432126415329
localPeriodCV,restAll,94,820,0.133811155038576,0.110214796985292,0.10666566695178,0.228306876679795,0.0563202522854521,0.253385845952406,0.00637242008912677,0.171613907628438
localPeriodCV,pacedAll,94,649,0.133811155038576,0.104634208412193,0.10666566695178,0.228306876679795,0.0522446160910282,0.258438927366451,0.00163765742559041,0.200799921319215
localPeriodCV,preNatural,94,171,0.133811155038576,0.132401035683083,0.10666566695178,0.228306876679795,0.0896784307819422,0.252033138478745,0.413143052771313,0.0608435983575961
nSubPeaks,restAll,94,820,2,1,1,2,1,2,1.5208508124659e-07,0.272548002075765
nSubPeaks,pacedAll,94,649,2,1,1,2,1,2,1.50727532302596e-08,0.294446447890371
nSubPeaks,preNatural,94,171,2,1,1,2,1,2,0.00428459334281234,0.189436356849571
depthVol,restAll,94,820,93188.6452530618,116437.098417041,73415.8189358495,106088.818083869,97283.5403172531,138516.739126358,7.2809603668581e-14,-0.470705760249092
depthVol,pacedAll,94,649,93188.6452530618,119672.227066402,73415.8189358495,106088.818083869,100633.810616839,141152.182820606,3.86041551226859e-16,-0.519194833295086
depthVol,preNatural,94,171,93188.6452530618,102935.286822875,73415.8189358495,106088.818083869,90442.9592206015,121079.581349659,0.000113846719669033,-0.286674132138858
